Trajectory Type,Speed,Wind X,Wind Y,Motor Affected,Full Loss,Partial Loss,Turbulence,Saturation RPM,Mean TTE,Sum TTE,Max TTE,Median TTE,Std TTE,TTF,TTC,Completed,TOC,Cross Corridor,Variance,Final SOC
square,4.41209217603922,0,0,NaN,0,0,0,0,0.756721305926602,7321.27863483988,2.00883034715743,0.592791507882637,0.709286971694891,NaN,96.74,1,1.02,3,0.000901247667003519,0.916743023547784
square,3.55384596992178,0,0,NaN,0,0,1,0,0.775646841538311,9061.88204969209,2.00859267368551,0.633739583457469,0.705950666816499,NaN,116.82,1,0.91,3,0.000605312553358633,0.904743632451236
square,4.38965724595163,0.485658906179238,4.11728914163646,NaN,0,0,0,0,0.892913595040147,8826.45088697185,2.01211655615984,0.716520514343003,0.654511938735266,98.85,NaN,0,1.46,1,0.000872755863462358,0.918339446658773
square,4.90044409767671,0.485658906179238,4.11728914163646,NaN,0,0,1,0,0.865316189659743,7831.11151642067,2.00430740648382,0.682340792248674,0.652122354955462,NaN,90.49,1,0.4,1,0.00106020529723174,0.924821675817605
triangle,4.531033576298,7.19372179828199,6.90779228546504,NaN,0,0,0,0,5.35047534976178,26158.4739849853,79.2229474554699,1.37700650814954,17.0997533293602,48.89,NaN,0,6.67,2,0.00101755074177538,0.954575866047597
square,3.37374520910876,7.19372179828199,6.90779228546504,NaN,0,0,1,0,1.51686861358775,19892.2149985898,2.65021557415049,1.48869766287549,0.709124189981569,NaN,131.13,1,45.98,2,0.000496968045699877,0.893619331979201
triangle,4.41872966171614,12.2279310035545,13.2315650505563,NaN,0,0,0,0,10.4376442635405,79816.665683294,102.165820446813,7.8455508621279,17.3195576219144,76.47,NaN,0,69.52,1,0.000122239516215076,0.9285209088265
triangle,3.55205015399716,12.2279310035545,13.2315650505563,NaN,0,0,1,0,13.6348810519769,131167.555720018,105.739256975597,10.1348179279374,16.4978157471529,96.2,NaN,0,89.05,1,0.000242214615782907,0.913559510061634
square,3.23799536311675,0,0,1,1,0,0,0,4.04592036125556,13424.3637586459,102.372525172281,1.02232682472192,17.1591442119021,33.18,NaN,0,1.08,1,0.000282308603289921,0.965245291369955
square,4.91948791703216,0,0,1,1,0,1,0,5.11374316185274,12492.8745444063,101.947840093793,0.769811952055403,20.1910875916364,24.43,NaN,0,1.13,1,0.000584940430034413,0.974211892183385
square,4.50253411861131,2.92633875489889,1.11905969745568,1,1,0,0,0,4.71162132465864,12556.4708302153,100.364993625465,0.819842755666582,19.0724579343201,26.65,NaN,0,1.11,1,0.000491957006238851,0.970649409510151
triangle,4.01191410333028,2.92633875489889,1.11905969745568,1,1,0,1,0,2.67077764146998,10819.3202255949,113.988231882836,1.14518848035201,13.3866464029476,40.51,NaN,0,0.58,1,0.000431228720064167,0.957691377042897
square,4.09443105992761,9.45451626267899,9.79645712602722,1,1,0,0,0,23.9441264806379,10703.0245368451,104.405580413097,1.88177188160331,42.4917412317019,4.47,NaN,0,2.18,1,0.00017410555704778,0.995092995755036
square,3.29858801111811,9.45451626267899,9.79645712602722,1,1,0,1,0,23.2465725214716,10832.9027950058,104.307639003285,1.95104460142747,41.9763298248814,4.66,NaN,0,2.3,1,0.00014356738796167,0.995092761059206
square,4.62856965213763,14.2035862799183,11.2714108948577,1,1,0,0,0,25.8493894469335,11322.0325777569,111.384878392566,3.61413624425607,43.4591376561224,4.38,NaN,0,2.71,1,0.000547857036526203,0.995093181709446
square,4.85852724637446,14.2035862799183,11.2714108948577,1,1,0,1,0,24.7583148583219,11289.7915753948,111.418701320677,3.58716714696916,42.6662987284533,4.56,NaN,0,2.83,1,0.000469299856297039,0.995093268809291
square,4.23208935229328,0,0,2,1,0,0,0,1.17852603719726,12505.3397807002,2.19064224103317,1.27180690451769,0.596614372376576,NaN,106.1,1,11.13,2,0.000792627169805985,0.889677236640848
triangle,3.70331901412599,0,0,2,1,0,1,0,1.63285998248358,19530.6382504861,3.66251755317963,1.45603865469882,1.11117678452174,NaN,119.6,1,45.94,2,0.000647843699693759,0.875375696555787
square,4.83438732765962,2.92632045576362,2.7486180414557,2,1,0,0,0,0.996478211082621,9557.22252249341,1.9418738470288,1.10419682835625,0.511790816165125,NaN,95.9,1,0,0,0.00098797942479635,0.899326369872928
triangle,4.51440045822144,2.92632045576362,2.7486180414557,2,1,0,1,0,1.16281522505714,11560.7089675181,2.69293808086195,1.09922690520454,0.753185919518639,NaN,99.41,1,16.71,1,0.00093694650345141,0.896266930939435
square,3.15170857912613,6.90222923487678,7.83910820362611,2,1,0,0,0,0.804098903410657,11070.8337021579,2.01201797683353,0.642571810196038,0.552840001969106,NaN,137.67,1,0.25,1,0.000442455088638916,0.857331063476324
triangle,4.06159510601795,6.90222923487678,7.83910820362611,2,1,0,1,0,0.6023890996912,6594.35347431956,1.97665204271742,0.570738004613784,0.371634106383664,NaN,109.46,1,0,0,0.000750260207036684,0.885007507505018
square,4.13764732174439,14.6700534211459,10.6495310423687,2,1,0,0,0,2.43877120080301,23470.7340365282,81.0776641504787,0.236643205086903,11.9954921659077,96.24,NaN,0,5.6,1,0.000270650359958884,0.891246961648169
square,3.02380413900248,14.6700534211459,10.6495310423687,2,1,0,1,0,2.83376524436836,36680.2573231041,77.7038388835649,1.36218666363745,8.73447796477434,129.44,NaN,0,23.06,2,0.000253909627005664,0.860878565524437
triangle,3.62243008408961,0,0,3,1,0,0,0,2.23520740449999,26831.4296836179,3.76588777035769,2.14149454879145,0.97971107580904,NaN,120.03,1,72.86,3,0.00063183110329785,0.875273149400473
triangle,3.33129745899956,0,0,3,1,0,1,0,2.36298533660103,30600.6601089833,4.10131086716569,2.1154163529497,1.09265518252458,NaN,129.49,1,83.99,3,0.000539956656321365,0.866429053364796
triangle,4.37842900628002,1.31485642270072,3.27039549238391,3,1,0,0,0,2.26503961391612,23520.171350905,3.51083690081806,2.5045026953201,0.84142167224236,NaN,103.83,1,71.14,3,0.000873860991867456,0.89078843465019
square,3.901083197005,1.31485642270072,3.27039549238391,3,1,0,1,0,1.61652702951446,18902.0505561126,3.65890153379074,1.53337263081745,1.04992502056215,NaN,116.92,1,39.57,2,0.000658203556649854,0.877094787131869
triangle,3.30475603793845,6.14488484358409,9.56668680750835,3,1,0,0,0,43.5248459954311,1234799.88089038,83.9538677734819,35.2494395639081,17.9568660540279,283.7,NaN,0,281.06,1,0.000144835348531951,0.710939568907207
triangle,4.07668487052011,6.14488484358409,9.56668680750835,3,1,0,1,0,76.3713562427041,1756312.07951347,137.604058466332,83.0159677712787,29.6994792583017,229.97,NaN,0,227.03,1,0.000202103875760009,0.765866136614406
triangle,3.21330554036117,10.3908776437659,12.2133913488772,3,1,0,0,0,290.593075984048,8478634.17798657,470.099703785241,286.36323240423,118.269859715258,291.77,NaN,0,289.94,1,0.000261923069694758,0.700279426100696
triangle,3.00926844826814,10.3908776437659,12.2133913488772,3,1,0,1,0,313.849995367159,9777682.75566846,502.650808390993,305.975708286947,128.243950107351,311.54,NaN,0,309.65,1,0.000320333013248002,0.683519107608081
square,3.16887169102182,0,0,4,1,0,0,0,1.41796154709745,15494.0658251339,4.53019626650827,1.39158552724964,0.74886964221248,109.27,NaN,0,17.31,2,0.000421177082184333,0.886650420051272
triangle,3.51974080570131,0,0,4,1,0,1,0,1.24525972107785,10902.2488580366,5.63461610572881,1.26988620087802,0.71684390731636,87.55,NaN,0,2.65,1,0.000488254460910447,0.909471364213823
square,3.3636940566057,2.15706913731772,4.55323797214762,4,1,0,0,0,1.65324930130343,17595.5323137724,3.46323031828185,1.79364902522312,0.703059369334892,106.43,NaN,0,37.85,4,0.00045722103911629,0.888928289641449
square,3.29107796076943,2.15706913731772,4.55323797214762,4,1,0,1,0,1.6729770117447,18310.7333935457,3.19614503478457,1.82058487424138,0.710227144229439,109.45,NaN,0,42.55,4,0.000439101298251185,0.884037984802221
square,4.09972040367266,9.34646103820045,7.89852293682785,4,1,0,0,0,1.61917158646544,15412.8943315645,3.36030705313441,1.54448851390473,1.04352663905619,95.19,NaN,0,38.64,3,0.000614192771980051,0.900095745724063
triangle,4.70606223544379,9.34646103820045,7.89852293682785,4,1,0,1,0,2.51710040644824,19864.9564076895,4.52013901248685,2.85374913955853,1.12735085156133,78.92,NaN,0,52.72,3,0.000736070458348846,0.915226293145893
square,3.80361606750388,11.7547619044614,12.5662476993353,4,1,0,0,0,23.0195026895433,687339.330807074,71.2602098758618,6.91599875295481,26.9372023434207,298.59,NaN,0,263.48,3,0.000126003448575767,0.683061125596883
square,3.47983230710732,11.7547619044614,12.5662476993353,4,1,0,1,0,47.6170580203726,2052628.5200842,183.450019002255,4.11768059570274,66.102419364422,431.07,NaN,0,305.24,2,7.33084184951458e-05,0.550554715003785
square,3.83453413816874,0,0,5,1,0,0,0,2.35833220914372,15326.8010272251,95.6350282301217,0.93629492215138,7.86632084330333,64.99,NaN,0,29.27,3,0.000350484028013687,0.932076232669094
triangle,4.80543221983056,0,0,5,1,0,1,0,1.64426054213123,11698.9137572637,3.83939819178582,1.0461304549976,1.25386221961505,71.15,NaN,0,23.7,1,0.000800875216718547,0.925377777623481
triangle,3.67543881964275,2.4543204623404,2.44626319200009,5,1,0,0,0,2.46238394878071,22488.9526042142,5.78620806227843,1.68498388337171,1.89997946068849,91.33,NaN,0,33.78,1,0.000476631272906843,0.903967367649848
square,3.73849356224043,2.4543204623404,2.44626319200009,5,1,0,1,0,1.74371936412693,16807.7109508195,3.7159013627674,1.66934095942099,1.01789626684857,96.39,NaN,0,27.6,1,0.000560372195011432,0.897675155594867
square,3.48338257182767,8.90126034160569,6.94869418480627,5,1,0,0,0,5.37429424847991,131729.326324491,25.4786334804145,3.61162057873578,5.49761159010291,245.11,NaN,0,222.69,3,0.00017388077792607,0.749527827045309
square,3.19290905033678,8.90126034160569,6.94869418480627,5,1,0,1,0,3.60034740567901,72244.571042355,10.5521120975341,3.2931513030686,1.93475362152031,200.66,NaN,0,148.76,4,0.000206432944231419,0.793972904109875
square,4.15041719015693,14.7102529538774,14.780672701149,5,1,0,0,0,763.935001395694,27610902.7554446,1821.12814167189,647.639584966371,546.874131081234,361.43,NaN,0,359.79,1,0.000218878453137331,0.626568434973979
square,3.46955982674481,14.7102529538774,14.780672701149,5,1,0,1,0,757.631983678716,32756218.8143493,1659.00058986519,722.5819355151,474.17356356656,432.35,NaN,0,430.67,1,0.0002539442016746,0.552744119284819
square,3.08604760331562,0,0,6,1,0,0,0,1.84077651715048,25894.2032667559,3.58084629245448,1.69818056516026,1.03004027726104,NaN,140.66,1,53.15,2,0.000436120999628247,0.855438304842189
triangle,4.2982309499129,0,0,6,1,0,1,0,4.66356574259859,39514.3925370378,26.9760827905747,3.4362125602227,3.62505365461238,84.73,NaN,0,63.11,3,0.000961242475535224,0.909920687610771
square,4.09401778457269,3.23872981568153,2.25461853215472,6,1,0,0,0,1.6311392073978,18322.5867166994,2.98893070816914,1.66409797330107,0.813268066633433,NaN,112.32,1,36.1,2,0.000715654729322169,0.883298874903065
square,4.48938561414831,3.23872981568153,2.25461853215472,6,1,0,1,0,1.56060933537595,16197.5642918669,2.82518612050293,1.63836471580761,0.765990326992924,103.79,NaN,0,30.89,2,0.000847396980493723,0.890452869763632
triangle,3.73696919298067,8.43387716682657,5.91755577868635,6,1,0,0,0,4.4029125124393,34778.6059357581,131.870194453475,3.22922203276287,11.4717993394663,78.99,NaN,0,50.91,2,0.000304672293589947,0.917522524403614
square,4.56045487030275,8.43387716682657,5.91755577868635,6,1,0,1,0,3.80272463576645,79233.5705108298,20.5262580779219,2.6328368688511,4.26718194637266,NaN,208.35,1,128.95,5,0.000414688305529786,0.781908406686006
square,3.97358326480634,14.6469298548437,13.878563393042,6,1,0,0,0,609.259277341707,23000146.9789268,1151.12688066283,578.892000689779,327.262866699835,377.51,NaN,0,376.07,1,4.36348050133672e-05,0.610347738761588
square,3.89356749885961,14.6469298548437,13.878563393042,6,1,0,1,0,514.637250478489,19827429.3491847,1217.28500156352,392.131028846933,333.537216408998,385.27,NaN,0,383.81,1,0.000288554243813428,0.605970978287789
triangle,4.63525541664452,0,0,7,1,0,0,0,3.54792644424645,15004.1809327182,104.780626781525,2.20475014744302,12.1451271090693,42.29,NaN,0,23.26,2,0.000571580032976772,0.954668571570942
square,4.28863626038738,0,0,7,1,0,1,0,1.1960990011092,12590.1380856755,2.49783256344318,1.32021253010081,0.66218900607315,NaN,105.25,1,11,1,0.000803710010942631,0.888368809526295
triangle,3.70145420715377,4.05790229141239,2.66412794399727,7,1,0,0,0,3.54951959304941,19312.9361057819,100.962242068815,2.61580199342049,10.3210918827216,54.41,NaN,0,33.64,2,0.000424316158056968,0.94253946074494
triangle,4.75188562298597,4.05790229141239,2.66412794399727,7,1,0,1,0,3.47747527412288,14970.531055099,100.631230474954,2.09508392928293,11.7553484270067,43.05,NaN,0,22.65,2,0.000685315836675506,0.953989027090203
square,3.41548458546606,8.11237543000614,7.93522352265708,7,1,0,0,0,1.49055780679024,20259.6617098929,4.08667336898573,0.939886960057208,1.25166052963984,NaN,135.91,1,43.91,2,0.000480970000735735,0.858413587397647
square,3.94184669703518,8.11237543000614,7.93522352265708,7,1,0,1,0,1.36442618491454,16547.7607706435,3.85144008088071,0.985087153382145,1.10228321080933,NaN,121.27,1,33.19,2,0.000609394813290948,0.871470114902159
square,3.4518435619448,14.2215439634769,10.9738214478352,7,1,0,0,0,304.193970695739,13218748.9965834,876.392520868198,29.4833342319492,319.47074149471,434.55,NaN,0,352.58,1,0.000121913781333793,0.547162228748803
square,3.45532859563311,14.2215439634769,10.9738214478352,7,1,0,1,0,113.439303212655,4924513.59176457,244.997990341608,23.4869702274026,108.681802286104,434.11,NaN,0,378.14,1,6.6281160955818e-05,0.551626233407054
square,3.86041478265917,0,0,8,1,0,0,0,3.15654423664901,11720.2487506778,94.947066242947,0.669423207105972,14.6078494676657,37.13,NaN,0,3.55,1,0.000323950521129733,0.959969311167814
triangle,4.80976193735979,0,0,8,1,0,1,0,1.90382837396873,8116.0203582287,113.567490343851,0.740325774293899,11.5194048552573,42.63,NaN,0,0.45,1,0.000500225160444857,0.955139315257533
square,3.51612939182413,2.19434986563052,0.555596117202994,8,1,0,0,0,3.06232263605902,12601.4576473829,93.9608159085636,0.732403823026364,14.126092786716,41.15,NaN,0,3.58,1,0.000265129963482661,0.956017160966332
square,4.18979214801723,2.19434986563052,0.555596117202994,8,1,0,1,0,3.22038944787119,11966.9671882894,89.8528513368212,0.622804830471277,13.6516148937987,37.16,NaN,0,4.8,1,0.00042138923078823,0.959577113193709
square,3.44349346803448,8.01421544691041,8.55607890216842,8,1,0,0,0,21.9335019813976,11515.0885402338,108.807755185329,0.543300137545203,41.3195505130691,5.25,NaN,0,1.73,1,0.000200133600525636,0.995205995353263
square,3.59335174643665,8.01421544691041,8.55607890216842,8,1,0,1,0,21.1225537047014,11427.3015542435,108.277673576813,0.436371847211544,40.6972049550671,5.41,NaN,0,1.56,1,0.000161140112244845,0.995154906341934
square,3.17103159418009,12.120833798569,12.5392914233056,8,1,0,0,0,27.7966560190902,13120.0216410106,114.0099779406,3.61668332515391,44.6612627232541,4.72,NaN,0,2.87,1,0.000460479609199364,0.995092728152032
square,4.60202924553948,12.120833798569,12.5392914233056,8,1,0,1,0,25.8342347041802,12632.9407703441,113.661760083027,3.30618628934108,43.3427454638624,4.89,NaN,0,2.94,1,0.000348694351529306,0.995093171929856
triangle,3.97721794760716,0,0,1,0,0.75,0,0,28.8066923711243,247017.387082391,114.197796309464,2.37976638510938,38.9590566378141,NaN,85.74,1,43.76,1,0.00071960997039251,0.92097517212944
square,3.47456715954304,0,0,1,0,0.75,1,0,0.862906930452942,10333.310492174,2.04646570766294,0.585938426222725,0.692244927056554,NaN,119.74,1,7.92,2,0.000578195857968007,0.896435771753046
square,4.042271661608,4.81544269643457,2.73402859369484,1,0,0.75,0,0,0.785684566883052,8342.39873116425,2.00403377102298,0.621310272051581,0.691347823273344,NaN,106.17,1,0.8,3,0.000746808726083661,0.90586573290154
triangle,3.97779548784033,4.81544269643457,2.73402859369484,1,0,0.75,1,0,26.9792735584999,228703.301955404,111.8299488161,0.901863047467308,37.8063614519125,NaN,84.76,1,39.96,1,0.000708494250332527,0.922097156446534
triangle,3.73487329708895,8.39567770432874,6.97757607834297,1,0,0.75,0,0,26.5671220581023,244869.164009529,113.235615385053,1.6789938418931,37.4634393000333,NaN,92.16,1,41.78,2,0.000589971732968639,0.915275470094865
triangle,3.0754777324791,8.39567770432874,6.97757607834297,1,0,0.75,1,0,27.7479979185712,298207.733630885,113.888865437566,2.20618678679338,37.7573623328031,NaN,107.46,1,64.5,3,0.000419709208449072,0.903110402182128
square,3.19742455731115,14.5664341381962,13.9809193679261,1,0,0.75,0,0,35.6304973551185,19133.5770796986,113.108572530349,6.20453953680396,48.5624510989824,5.37,NaN,0,3.72,1,0.000727674598727292,0.995092734854233
triangle,3.67071367992559,14.5664341381962,13.9809193679261,1,0,0.75,1,0,27.1392076865207,12918.2628587838,135.291284803909,4.38370713256297,51.2045025857949,4.76,NaN,0,3.07,1,0.000665399283660358,0.995092565384566
triangle,3.21352372321448,0,0,2,0,0.5,0,0,1.1619691837754,15070.7403135669,2.57547074195759,1.13722221045606,0.773208535736672,NaN,129.69,1,21.39,1,0.000519057463342395,0.87555094479276
triangle,3.98834787327854,0,0,2,0,0.5,1,0,0.941525713056036,10102.5709010913,2.05149567542659,0.907135315509855,0.62592977834466,NaN,107.29,1,5.52,1,0.000775407104518146,0.896051512210609
square,4.78184500866158,3.57518539200347,4.51860280278158,2,0,0.5,0,0,0.7565237231247,7084.84466706282,2.00367281746892,0.562881739867578,0.570677548508122,NaN,93.64,1,0.22,1,0.000996501470693001,0.910168714885079
square,4.39749166466959,3.57518539200347,4.51860280278158,2,0,0.5,1,0,0.773657121056712,7713.36149693542,1.99862825788027,0.600344821045432,0.559649287776426,NaN,99.69,1,0,0,0.000863440138434568,0.903623187016378
square,4.0000448711804,5.15270473152318,8.72037130183731,2,0,0.5,0,0,0.935068249108624,10350.2704493834,2.04951330903711,0.711896035208271,0.647545294053336,NaN,110.68,1,3.91,1,0.000697666291645926,0.895336657261141
triangle,4.80944447613473,5.15270473152318,8.72037130183731,2,0,0.5,1,0,0.844964665782472,8024.62943093613,1.95107303408689,0.694391703760506,0.637328879680342,NaN,94.96,1,0,0,0.00102364919609906,0.908313246222071
triangle,4.61097884905937,13.0883319479423,14.2972115282311,2,0,0.5,0,0,17.2228911858013,170368.839609946,95.2326422634273,5.22667175447888,25.5638573095955,NaN,98.91,1,88.72,1,0.000483586220289254,0.893057272734552
square,3.36584493882983,13.0883319479423,14.2972115282311,2,0,0.5,1,0,6.90343378233849,45493.6286256106,81.9688690108006,3.30439451127321,16.2815432423665,65.9,NaN,0,51.23,2,0.000380598262026854,0.923917952926183
square,3.97980277702445,0,0,3,0,0.9,0,0,0.852934322246513,9014.6628518234,2.00209319159127,0.706506162883414,0.670031260802904,NaN,105.68,1,0.26,1,0.000746984872332991,0.910986620096107
triangle,4.95736129928232,0,0,3,0,0.9,1,0,0.658710158496795,5841.44168554958,1.90055040476072,0.295410030618328,0.584675113045077,NaN,88.67,1,0,0,0.00115907550332936,0.923342105173591
triangle,3.11923773515928,2.50235812077422,2.3554418727097,3,0,0.9,0,0,0.949893436001945,12646.8812069299,1.88641192801008,0.769519850467612,0.568138622997884,NaN,133.13,1,0,0,0.000486836796193955,0.889135907139267
square,3.08486227500148,2.50235812077422,2.3554418727097,3,0,0.9,1,0,0.961317874599064,12881.6595196275,2.00607405241908,0.824613577188265,0.642856666777711,NaN,133.99,1,2.17,1,0.00045749021716609,0.886865198798462
triangle,4.63629710771925,7.60824921232142,5.48365012890434,3,0,0.9,0,0,1.2514896839927,12456.0768247793,2.94844921484328,1.10490201514998,0.909717261638058,NaN,99.52,1,23.25,1,0.000937374103920912,0.916082763995377
square,4.44487918473368,7.60824921232142,5.48365012890434,3,0,0.9,1,0,1.26138888891476,12949.4183335989,2.26524969560009,1.06978157419685,0.674527763839262,NaN,102.65,1,23.78,2,0.00083554688338301,0.912203087808698
triangle,4.94594910952773,13.2980262645415,12.5929747125527,3,0,0.9,0,0,21.5537788528147,283863.26749157,86.5369580966632,9.32981633881079,24.2961749721439,131.7,NaN,0,122.64,2,0.00086398643149039,0.877889497555021
square,4.6006611507048,13.2980262645415,12.5929747125527,3,0,0.9,1,0,13.4811643903305,232644.453883933,57.6538528657715,8.93181939899945,12.3182365019784,172.57,NaN,0,165.03,1,0.000251550450516234,0.845609673982226
square,3.16693962971783,0,0,4,0,0.75,0,0,0.959585206752021,12507.2335848058,2.03790205802775,0.779957822370745,0.668961733637153,NaN,130.33,1,7.62,1,0.000485678085145891,0.885986311532473
square,3.34677722623801,0,0,4,0,0.75,1,0,0.950937450362419,11783.0659474407,2.02619583265384,0.780231606638983,0.664710169605846,NaN,123.9,1,6.06,1,0.000538887860192833,0.892805304907284
square,3.12094235833979,4.15689871419535,4.0168219580122,4,0,0.75,0,0,1.06657058197174,14388.0371507988,2.08151343629608,0.989312085628435,0.635052896665271,134.9,NaN,0,11.56,1,0.000455406746798624,0.882952154592492
square,4.05375166101659,4.15689871419535,4.0168219580122,4,0,0.75,1,0,0.980602349608794,10479.6973102692,2.01388451272319,0.804480277531617,0.615861581049974,NaN,106.86,1,3.39,1,0.000744035044429681,0.903991203517184
square,3.58396815992343,8.28429945486854,8.13986679595052,4,0,0.75,0,0,1.66618558958429,21202.2116274602,3.01561771718899,1.84277298575196,0.800152544652989,NaN,127.24,1,54.21,3,0.000539293069974114,0.888170522216652
triangle,3.03097425127204,8.28429945486854,8.13986679595052,4,0,0.75,1,0,3.01869934142418,33652.4602581967,8.40662037297563,3.25783790297589,1.24418108361243,111.48,NaN,0,86.12,3,0.000347968905147398,0.903162302596522
square,3.74481948011107,10.8358420495733,10.5310817246433,4,0,0.75,0,0,2.50711471484612,27818.9448759325,6.51709742400264,2.68957174957558,0.94996051580675,110.96,NaN,0,77.9,4,0.000513498299202076,0.898883383460635
square,3.97937527603205,10.8358420495733,10.5310817246433,4,0,0.75,1,0,2.27834266471037,24822.5433320194,7.05427498300845,2.39701392796125,0.925112203007665,108.95,NaN,0,69.59,4,0.00055986187360751,0.901391915431295
triangle,3.10535399536159,0,0,5,0,0.5,0,0,1.50356266971895,14686.8001578147,3.13428613713729,1.04001884099545,1.02295694723933,97.68,NaN,0,34.75,2,0.000376830158968647,0.907775970671816
square,3.53823885279711,0,0,5,0,0.5,1,0,1.37013915872954,12898.4900402799,5.84164734235184,1.44552305019018,0.879326629556433,94.14,NaN,0,25.36,3,0.000549475527160298,0.910120928665194
triangle,3.83548820863332,2.73935450607422,4.71368492138467,5,0,0.5,0,0,2.03832410308282,17474.552535729,4.10818666525699,1.76693397157954,1.18046508379302,85.73,NaN,0,31.67,2,0.000534687977069242,0.918292239547567
triangle,3.60290989742413,2.73935450607422,4.71368492138467,5,0,0.5,1,0,2.14291353532845,19254.0781149261,4.27393878873427,1.889312303974,1.21083741702834,89.85,NaN,0,35.92,3,0.000480011381740352,0.913983049820184
triangle,4.39621104036062,8.33169425792213,7.69563232521428,5,0,0.5,0,0,2.94130062948913,31839.5793142198,5.88198211512042,3.04193277364623,1.5442378216203,108.25,NaN,0,76.62,2,0.000412364969130784,0.897820950216619
square,3.35626490880068,8.33169425792213,7.69563232521428,5,0,0.5,1,0,2.59413197223298,31744.392944215,6.23490559231104,2.61270416876029,1.13942302745585,122.37,NaN,0,85.39,4,0.000390032576022794,0.883766321669954
triangle,3.06520164106106,14.9954019738068,10.8556053317822,5,0,0.5,0,0,434.550897300653,13291608.2957351,871.307279612967,560.738252866295,313.914665865522,305.87,NaN,0,298.21,1,0.00032528366161867,0.711552855270554
triangle,4.76373300090362,14.9954019738068,10.8556053317822,5,0,0.5,1,0,203.855037882325,4011663.29048626,342.196632175257,282.303996950863,140.595225217467,196.79,NaN,0,188.41,1,0.000231364750872972,0.814201471412682
triangle,3.92145187452082,0,0,6,0,0.9,0,0,0.828021199003716,6517.35485735825,13.7069110165457,0.405954285315272,1.16325678535898,78.71,NaN,0,3.47,2,0.000862938741319099,0.931421763794202
triangle,3.31280990445313,0,0,6,0,0.9,1,0,0.995270312039106,9001.22470208167,13.035625922549,0.461075972865064,1.7323667015138,90.44,NaN,0,3.82,1,0.000525208394739951,0.921844610722062
